Hidden Layers,Nodes per Layer,Learning Rate,Epochs,Loss,Precision,Recall,F1,Training_time (sec)
2,512,0.02,2000,91.12905901938069,0.8133479848142194,0.728125,0.7673991603632231,459.6929748058319
2,1024,0.01,500,300.8257147130822,0.6414962736653914,0.615625,0.6274582915037146,241.2726697921753
2,512,0.1,2000,18.45590782740397,0.9629528697758747,0.871875,0.9137356614725576,477.6456182003021
2,1024,0.02,500,103.3463068758359,0.6873062188114366,0.671875,0.6774104808520205,284.9278652667999
2,1024,0.01,1000,100.08513047495128,0.686331180972695,0.678125,0.6806101404729599,548.2346992492676
2,1024,0.02,1000,41.69147852715463,0.7162539860830939,0.68125,0.6967443749870472,555.0858402252197
2,1024,0.01,2000,42.7159796744651,0.7237525818396129,0.684375,0.7009412193863281,1122.9661920070648
2,1024,0.1,500,20.172932711853583,0.9451597744360903,0.834375,0.8840087517876206,282.4891040325165
2,1024,0.02,2000,20.364616618153853,0.7344530700396974,0.6875,0.708117655395868,1118.1680722236633
2,1024,0.1,1000,11.234108844727654,0.9477016920128374,0.821875,0.8779617199860918,564.613832950592
2,2048,0.01,500,42.53672232193928,0.5930888458295687,0.5625,0.5723204336728986,661.2027490139008
2,1024,0.1,2000,6.5414950906503035,0.9509054670819378,0.828125,0.8825859589826214,1233.3176896572113
2,2048,0.01,1000,18.661497370315498,0.6105575066324965,0.571875,0.5853402329786569,1429.9925935268402ca
2,2048,0.01,2000,9.285279236355407,0.6346090087681354,0.59375,0.6079338963336454,1807.4234533309937
2,2048,0.02,500,17.95903518572342,0.6292453060496365,0.590625,0.6028987321391721,559.495646238327
2,2048,0.02,1000,9.011323982479677,0.6479250554468579,0.5875,0.6092338005067859,1122.244644165039
2,2048,0.1,500,2.4568086522726804,0.843912305046759,0.784375,0.8095419422954624,564.7937662601471
2,2048,0.02,2000,4.730001184031778,0.6609219859600957,0.5875,0.6147021340974593,2257.4846913814545
2,2048,0.1,1000,1.5763855737145502,0.8406071809114675,0.775,0.8034682196308784,1130.9660575389862
2,2048,0.1,2000,1.0019794640572246,0.8612344258034185,0.775,0.8114610256401811,1270.708245754242
Hidden Layers,Nodes per Layer,Learning Rate,Epochs,Loss,Precision,Recall,F1,Training_time (sec)
3,512,0.01,500,414.5860793636843,0.6406405296054929,0.609375,0.6240316681046707,105.5388252735138
3,512,0.01,1000,194.4847347904635,0.6879264838918642,0.646875,0.6651937094394901,214.70431756973267
3,512,0.02,500,176.9703143183577,0.7124964512832159,0.653125,0.6782931751352803,105.08748865127563
3,512,0.01,2000,93.12440905591342,0.7312689229049523,0.65,0.6870910280510751,444.30559968948364
3,512,0.02,1000,85.61441802640138,0.7486455967158732,0.684375,0.712260931313642,230.7336676120758
3,512,0.1,500,38456.06303929578,0.125,0.025,0.04166666666666667,111.91845655441284
3,512,0.1,1000,23774.14418962928,0.35615079365079366,0.153125,0.212465469244963,223.00136542320251
3,512,0.02,2000,44.85065763431683,0.7895721823804379,0.690625,0.7331830529054626,445.3715238571167
3,1024,0.01,500,80.35034621118834,0.5510469419326929,0.55625,0.5530050862401291,265.7509386539459
3,512,0.1,2000,20.452279177610677,0.9483921908844511,0.884375,0.9144293145120237,489.83275079727173
3,1024,0.01,1000,35.447707012747756,0.5787072046948702,0.56875,0.5723195968069199,568.0150835514069
3,1024,0.02,500,33.18902639249037,0.5672574179878004,0.553125,0.5569531089660661,292.2555899620056
3,1024,0.01,2000,18.140693066468767,0.5932281788829464,0.55625,0.5724757177225557,1181.9227879047394
3,1024,0.02,1000,16.999238944731648,0.5794405550688372,0.559375,0.5667820153710512,605.2394847869873
3,1024,0.1,500,8.46364313849643,0.9141407047657047,0.796875,0.8479650163708021,302.8928892612457
3,1024,0.1,1000,4.495958349023483,0.9305309721396935,0.803125,0.8592298838492916,607.7655456066132
3,1024,0.02,2000,9.155928858355443,0.5987507364515219,0.56875,0.5810749102065271,1209.9166955947876
3,2048,0.01,500,16.071340885627198,0.41948822698265165,0.440625,0.42579600505307863,735.8947772979736
3,1024,0.1,2000,2.7700168080205176,0.9432709017386436,0.790625,0.8574644437641041,1293.3116643428802
3,2048,0.01,1000,8.270730059242435,0.434357251121957,0.446875,0.4367220171226792,1635.9304916858673
3,2048,0.02,500,6.203914508368504,0.4589853262144656,0.5,0.47460888900323733,914.6755158901215
3,2048,0.01,2000,4.41128746718643,0.44422340388858245,0.446875,0.44151325368670874,3490.9854369163513
3,2048,0.02,1000,3.4535445735514734,0.4756700355224104,0.49375,0.4807876282897127,1748.0146980285645
3,2048,0.1,500,1.329342624722507,0.8861309690683115,0.73125,0.7960747738129422,878.9323019981384
3,2048,0.1,1000,0.8347043966837546,0.8922887097950177,0.728125,0.7962586158880132,1771.786734342575
Hidden Layers,Nodes per Layer,Learning Rate,Epochs,Loss,Precision,Recall,F1,Training_time (sec)
3,2048,0.02,2000,1.930322664225775,0.483789326209539,0.490625,0.4838834843941665,3458.1407215595245
3,2048,0.1,2000,0.5297899444616812,0.9209119352869355,0.728125,0.8051539655012933,3458.722301006317
