Nombre de photos,Nombre de carres,Low Tresh,High Tresh,Sigma Color,Sigma Space,Pourcentage de carres
404,257,0,255,60,60,63.613861386138616
404,260,0,240,60,60,64.35643564356435
404,261,0,230,60,60,64.60396039603961
404,266,0,220,60,60,65.84158415841584
404,283,0,175,60,60,70.04950495049505
404,298,0,150,60,60,73.76237623762376
404,321,0,125,60,60,79.45544554455446
404,358,0,100,60,60,88.61386138613861
404,257,10,255,60,60,63.613861386138616
404,260,10,240,60,60,64.35643564356435
404,261,10,230,60,60,64.60396039603961
404,266,10,220,60,60,65.84158415841584
404,284,10,175,60,60,70.29702970297029
404,299,10,150,60,60,74.00990099009901
404,323,10,125,60,60,79.95049504950495
404,360,10,100,60,60,89.10891089108911
404,260,20,255,60,60,64.35643564356435
404,263,20,240,60,60,65.0990099009901
404,265,20,230,60,60,65.5940594059406
404,270,20,220,60,60,66.83168316831683
404,286,20,175,60,60,70.79207920792079
404,302,20,150,60,60,74.75247524752476
404,327,20,125,60,60,80.94059405940595
404,366,20,100,60,60,90.5940594059406
404,261,30,255,60,60,64.60396039603961
404,264,30,240,60,60,65.34653465346535
404,265,30,230,60,60,65.5940594059406
404,270,30,220,60,60,66.83168316831683
404,287,30,175,60,60,71.03960396039604
404,300,30,150,60,60,74.25742574257426
404,323,30,125,60,60,79.95049504950495
404,360,30,100,60,60,89.10891089108911
404,273,40,255,60,60,67.57425742574257
404,276,40,240,60,60,68.31683168316832
404,278,40,230,60,60,68.8118811881188
404,282,40,220,60,60,69.80198019801979
404,301,40,175,60,60,74.5049504950495
404,313,40,150,60,60,77.47524752475248
404,339,40,125,60,60,83.9108910891089
404,375,40,100,60,60,92.82178217821783
404,289,50,255,60,60,71.53465346534654
404,294,50,240,60,60,72.77227722772277
404,296,50,230,60,60,73.26732673267327
404,300,50,220,60,60,74.25742574257426
404,321,50,175,60,60,79.45544554455446
404,334,50,150,60,60,82.67326732673267
404,358,50,125,60,60,88.61386138613861
404,392,50,100,60,60,97.02970297029702
404,289,60,255,60,60,71.53465346534654
404,292,60,240,60,60,72.27722772277228
404,294,60,230,60,60,72.77227722772277
404,297,60,220,60,60,73.51485148514851
404,318,60,175,60,60,78.71287128712872
404,332,60,150,60,60,82.17821782178217
404,358,60,125,60,60,88.61386138613861
404,399,60,100,60,60,98.76237623762376
404,299,70,255,60,60,74.00990099009901
404,304,70,240,60,60,75.24752475247524
404,305,70,230,60,60,75.4950495049505
404,309,70,220,60,60,76.48514851485149
404,330,70,175,60,60,81.68316831683168
404,348,70,150,60,60,86.13861386138613
404,382,70,125,60,60,94.55445544554455
404,441,70,100,60,60,109.15841584158417
404,255,0,255,60,145,63.11881188118812
404,257,0,240,60,145,63.613861386138616
404,258,0,230,60,145,63.86138613861386
404,263,0,220,60,145,65.0990099009901
404,280,0,175,60,145,69.3069306930693
404,294,0,150,60,145,72.77227722772277
404,318,0,125,60,145,78.71287128712872
404,353,0,100,60,145,87.37623762376238
404,256,10,255,60,145,63.366336633663366
404,258,10,240,60,145,63.86138613861386
404,259,10,230,60,145,64.10891089108911
404,264,10,220,60,145,65.34653465346535
404,282,10,175,60,145,69.80198019801979
404,296,10,150,60,145,73.26732673267327
404,321,10,125,60,145,79.45544554455446
404,356,10,100,60,145,88.11881188118812
404,260,20,255,60,145,64.35643564356435
404,262,20,240,60,145,64.85148514851485
404,263,20,230,60,145,65.0990099009901
404,268,20,220,60,145,66.33663366336634
404,284,20,175,60,145,70.29702970297029
404,299,20,150,60,145,74.00990099009901
404,325,20,125,60,145,80.44554455445545
404,361,20,100,60,145,89.35643564356435
404,261,30,255,60,145,64.60396039603961
404,263,30,240,60,145,65.0990099009901
404,264,30,230,60,145,65.34653465346535
404,269,30,220,60,145,66.58415841584159
404,286,30,175,60,145,70.79207920792079
404,299,30,150,60,145,74.00990099009901
404,324,30,125,60,145,80.19801980198021
404,359,30,100,60,145,88.86138613861387
404,272,40,255,60,145,67.32673267326733
404,275,40,240,60,145,68.06930693069307
404,277,40,230,60,145,68.56435643564357
404,281,40,220,60,145,69.55445544554455
404,299,40,175,60,145,74.00990099009901
404,311,40,150,60,145,76.98019801980197
404,337,40,125,60,145,83.41584158415841
404,371,40,100,60,145,91.83168316831683
404,289,50,255,60,145,71.53465346534654
404,294,50,240,60,145,72.77227722772277
404,296,50,230,60,145,73.26732673267327
404,300,50,220,60,145,74.25742574257426
